作業工程,大分類,中分類,小分類,グラフ項目
Nト焼付修正,上塗り,かぶり,是正,上塗ブツ
Nト焼付修正,上塗り,かぶり,設備要因,上塗ブツ
Nト焼付修正,上塗り,キズ,作業者要因,キズ （触り・当り）
Nト焼付修正,上塗り,ケバ,作業者要因,ケバ （上塗・中塗）
Nト焼付修正,上塗り,ケバ,設備要因,ケバ （上塗・中塗）
Nト焼付修正,上塗り,ケバ,特定できず,ケバ （上塗・中塗）
Nト焼付修正,上塗り,スジ,拭きスジ,その他
Nト焼付修正,上塗り,スジ,設備要因,その他
Nト焼付修正,上塗り,タマリ,作業者要因,タレ
Nト焼付修正,上塗り,タマリ,是正,タレ
Nト焼付修正,上塗り,タマリ,設備異常,タレ
Nト焼付修正,上塗り,タマリ,設備要因,タレ
Nト焼付修正,上塗り,タレ,作業者要因,タレ
Nト焼付修正,上塗り,タレ,是正,タレ
Nト焼付修正,上塗り,タレ,設備異常,タレ
Nト焼付修正,上塗り,タレ,設備要因,タレ
Nト焼付修正,上塗り,ハジキ,作業者要因,上塗ハジキ
Nト焼付修正,上塗り,ハジキ,是正,上塗ハジキ
Nト焼付修正,上塗り,ハジキ,設備異常,上塗ハジキ
Nト焼付修正,上塗り,ハジキ,設備要因,上塗ハジキ
Nト焼付修正,上塗り,ハジキ,特定できず,上塗ハジキ
Nト焼付修正,上塗り,ブツ,ケバ,ケバ （上塗・中塗）
Nト焼付修正,上塗り,ブツ,異物,上塗ブツ
Nト焼付修正,上塗り,ブツ,異物(虫、ワイプ羽等),虫付着
Nト焼付修正,上塗り,ブツ,是正,上塗ブツ
Nト焼付修正,上塗り,ブツ,設備異常,上塗ブツ
Nト焼付修正,上塗り,ブツ,設備要因,上塗ブツ
Nト焼付修正,上塗り,ブツ,塗料カス,塗料カス
Nト焼付修正,上塗り,ブツ,特定できず,上塗ブツ
Nト焼付修正,上塗り,ワキ,作業者要因,ワキ
Nト焼付修正,上塗り,ワキ,是正,ワキ
Nト焼付修正,上塗り,ワキ,設備異常,ワキ
Nト焼付修正,上塗り,ワキ,設備要因,ワキ
Nト焼付修正,上塗り,黒ブツ,ケバ,ケバ （上塗・中塗）
Nト焼付修正,上塗り,黒ブツ,異物(虫、ワイプ羽等),虫付着
Nト焼付修正,上塗り,黒ブツ,是正,色ブツ （黒ﾌﾞﾂ・白ﾌﾞﾂ）
Nト焼付修正,上塗り,黒ブツ,設備要因,色ブツ （黒ﾌﾞﾂ・白ﾌﾞﾂ）
Nト焼付修正,上塗り,黒ブツ,塗料カス,塗料カス
Nト焼付修正,上塗り,黒ブツ,特定できず,色ブツ （黒ﾌﾞﾂ・白ﾌﾞﾂ）
Nト焼付修正,上塗り,色とび・シンナーとび,作業者要因,トビ （塗料・色・ｼﾝﾅｰ）
Nト焼付修正,上塗り,色とび・シンナーとび,是正,トビ （塗料・色・ｼﾝﾅｰ）
Nト焼付修正,上塗り,色とび・シンナーとび,設備異常,トビ （塗料・色・ｼﾝﾅｰ）
Nト焼付修正,上塗り,色とび・シンナーとび,設備要因,トビ （塗料・色・ｼﾝﾅｰ）
Nト焼付修正,上塗り,色ムラ,作業者要因,変色/色ムラ
Nト焼付修正,上塗り,色ムラ,是正,変色/色ムラ
Nト焼付修正,上塗り,色ムラ,設備異常,変色/色ムラ
Nト焼付修正,上塗り,色ムラ,設備要因,変色/色ムラ
Nト焼付修正,上塗り,色間違い,作業者要因,変色/色ムラ
Nト焼付修正,上塗り,色間違い,設備要因,変色/色ムラ
Nト焼付修正,上塗り,色差ずれ,設備異常,その他
Nト焼付修正,上塗り,色差ずれ,設備要因,その他
Nト焼付修正,上塗り,虫付き,特定できず,虫付着
Nト焼付修正,上塗り,塗り不足,作業者要因,塗不足
Nト焼付修正,上塗り,塗り不足,是正,塗不足
Nト焼付修正,上塗り,塗り不足,設備異常,塗不足
Nト焼付修正,上塗り,塗り不足,設備要因,塗不足
Nト焼付修正,上塗り,塗膜ズレ、ベーパーウォッシュ,特定できず,その他
Nト焼付修正,上塗り,塗料カス,設備要因,塗料カス
Nト焼付修正,上塗り,塗料カス,特定できず,塗料カス
Nト焼付修正,上塗り,肌荒れ,作業者要因,その他
Nト焼付修正,上塗り,肌荒れ,是正,その他
Nト焼付修正,上塗り,肌荒れ,設備異常,その他
Nト焼付修正,上塗り,肌荒れ,設備要因,その他
Nト焼付修正,前処理・電着,２次タレ,見逃し,電着２次タレ
Nト焼付修正,前処理・電着,コンタミ,設備異常,その他
Nト焼付修正,前処理・電着,スジ・模様,特定できず,その他
Nト焼付修正,前処理・電着,タマリ,見逃し,その他
Nト焼付修正,前処理・電着,タマリ,設備異常,その他
Nト焼付修正,前処理・電着,ブツ,異物混入,電着ブツ
Nト焼付修正,前処理・電着,ブツ,沈殿物・凝集物,電着ブツ
Nト焼付修正,前処理・電着,ブツ,鉄紛,鉄粉付着
Nト焼付修正,前処理・電着,ブツ,特定できず,電着ブツ
Nト焼付修正,前処理・電着,異物・カス,特定できず,電着ブツ
Nト焼付修正,前処理・電着,水跡（ウォーターマーク）,設備異常,その他
Nト焼付修正,前処理・電着,鉄粉,設備異常,鉄粉付着
Nト焼付修正,前処理・電着,塗膜凝集,設備異常,その他
Nト焼付修正,前処理・電着,肌荒れ、ざらつき,設備異常,その他
Nト焼付修正,送付,治具キズ・取付け外し忘れ,作業者要因,キズ （触り・当り）
Nト焼付修正,送付,治具キズ・取付け外し忘れ,是正,キズ （触り・当り）
Nト焼付修正,送付,部品取付不良（キズ含む）,作業者要因,その他
Nト焼付修正,中塗り,タマリ,設備要因,タレ
Nト焼付修正,中塗り,タレ,作業者要因,タレ
Nト焼付修正,中塗り,タレ,設備異常,タレ
Nト焼付修正,中塗り,タレ,設備要因,タレ
Nト焼付修正,中塗り,ハジキ,設備要因,中塗ハジキ
Nト焼付修正,中塗り,ブツ,設備要因,中塗ブツ
Nト焼付修正,中塗り,ブツ,特定できず,中塗ブツ
Nト焼付修正,中塗り,ワキ,設備要因,ワキ
Nト焼付修正,中塗り,色とび・シンナーとび,作業者要因,トビ （塗料・色・ｼﾝﾅｰ）
Nト焼付修正,中塗り,色とび・シンナーとび,設備要因,トビ （塗料・色・ｼﾝﾅｰ）
Nト焼付修正,中塗り,塗り不足,作業者要因,塗不足
Nト焼付修正,中塗り修正,ハジキ,特定できず,中塗ハジキ
Nト焼付修正,中塗り修正,ブツ,研ぎカス,研ぎカス/汁
Nト焼付修正,中塗り修正,ブツ,拭き取り不足,中塗ブツ
Nト焼付修正,中塗り修正,ブツ,特定できず,中塗ブツ
Nト焼付修正,中塗り修正,下地不良,研ぎスケ,研ぎスケ
Nト焼付修正,中塗り修正,下地不良,研ぎ凹,下地不良
Nト焼付修正,中塗り修正,下地不良,研ぎ不良,下地不良
Nト焼付修正,中塗り修正,研ぎカス/粉,作業者要因,研ぎカス/汁
Nト焼付修正,中塗り修正,研ぎ不良,作業者要因,下地不良
Nト焼付修正,電着修正,ウォーターマーク,見逃し,その他
Nト焼付修正,電着修正,ブツ,研ぎカス,研ぎカス/汁
Nト焼付修正,電着修正,ブツ,拭き取り不足,電着ブツ
Nト焼付修正,電着修正,ブツ,鉄紛,鉄粉付着
Nト焼付修正,電着修正,ブツ,特定できず,電着ブツ
Nト焼付修正,電着修正,リテーナー外れ,作業者要因,その他
Nト焼付修正,電着修正,リテーナー外れ,治具要因,その他
Nト焼付修正,電着修正,下地不良,研ぎスケ,下地不良
Nト焼付修正,電着修正,下地不良,研ぎ凹,下地不良
Nト焼付修正,電着修正,下地不良,研ぎ跡,下地不良
Nト焼付修正,電着修正,下地不良,研ぎ不良,下地不良
Nト焼付修正,電着修正,下地不良,特定できず,下地不良
Nト焼付修正,電着修正,研ぎカス/粉,作業者要因,研ぎカス/汁
Nト焼付修正,電着修正,研ぎスケ,作業者要因,下地不良
Nト焼付修正,電着修正,研ぎ凹,作業者要因,下地不良
Nト焼付修正,電着修正,研ぎ汁,作業者要因,研ぎカス/汁
Nト焼付修正,電着修正,研ぎ不良,作業者要因,下地不良
Nト焼付修正,電着修正,研ぎ不良,是正,下地不良
Nト焼付修正,電着修正,電着２次タレ,研ぎ跡,下地不良
Nト焼付修正,電着修正,電着２次タレ,研ぎ不足,下地不良
Nト焼付修正,電着修正,電着２次タレ,見逃し,電着２次タレ
Nト焼付修正,入れ込み,凹凸、キズ,治具当たり,キズ （触り・当り）
Nト焼付修正,入れ込み,凹凸、キズ,治具当たり,当りキズ
